,Team,Season,Record,Season Result,PJ Positive
608,Raptors,1996-97,30-52,N/A,False
609,Celtics,1996-97,15-67,N/A,False
610,Clippers,1996-97,36-46,N/A,False
611,Rockets,1996-97,57-25,N/A,False
612,Heat,1996-97,61-21,N/A,True
613,Nuggets,1996-97,21-61,N/A,False
614,Hornets,1996-97,54-28,N/A,True
615,Hawks,1996-97,56-26,N/A,True
616,Trail Blazers,1996-97,49-33,N/A,False
617,Kings,1996-97,34-48,N/A,False
618,Jazz,1996-97,64-18,FINALS APPEARANCE,True
619,Nets,1996-97,26-56,N/A,False
620,Knicks,1996-97,57-25,N/A,True
621,Warriors,1997-98,19-63,N/A,False
622,Magic,1997-98,41-41,N/A,False
623,Jazz,1997-98,62-20,FINALS APPEARANCE,True
624,Hawks,1997-98,50-32,N/A,False
625,Wizards,1997-98,42-40,N/A,False
626,Rockets,1997-98,41-41,N/A,False
627,Clippers,1997-98,17-65,N/A,False
628,Timberwolves,1997-98,45-37,N/A,False
629,Heat,1997-98,55-27,N/A,True
630,Trail Blazers,1997-98,46-36,N/A,False
631,SuperSonics,1997-98,61-21,N/A,True
632,Bucks,1997-98,36-46,N/A,False
633,Bulls,1997-98,62-20,LEAGUE CHAMPION,True
634,Cavaliers,1997-98,47-35,N/A,False
635,Nuggets,1997-98,11-71,N/A,False
636,76ers,1997-98,31-51,N/A,False
637,Kings,1997-98,27-55,N/A,False
638,Pistons,1997-98,37-45,N/A,False
639,Nets,1997-98,43-39,N/A,False
640,Pacers,1997-98,58-24,N/A,True
641,Lakers,1997-98,61-21,N/A,True
642,Knicks,1997-98,43-39,N/A,False
643,Spurs,1997-98,56-26,N/A,True
644,Suns,1997-98,56-26,N/A,True
645,Mavericks,1997-98,20-62,N/A,False
646,Hornets,1997-98,51-31,N/A,False
647,Raptors,1997-98,16-66,N/A,False
648,Celtics,1997-98,36-46,N/A,False
649,Grizzlies,1997-98,19-63,N/A,False
650,Suns,1998-99,27-23,N/A,False
651,Spurs,1998-99,37-13,LEAGUE CHAMPION,True
652,Celtics,1998-99,19-31,N/A,False
653,Timberwolves,1998-99,25-25,N/A,False
654,Pistons,1998-99,29-21,N/A,False
655,SuperSonics,1998-99,25-25,N/A,False
656,Hawks,1998-99,31-19,N/A,False
657,Clippers,1998-99,9-41,N/A,False
658,Bucks,1998-99,28-22,N/A,False
659,Nets,1998-99,16-34,N/A,False
660,Heat,1998-99,33-17,N/A,True
661,Rockets,1998-99,31-19,N/A,False
662,Hornets,1998-99,26-24,N/A,False
663,Bulls,1998-99,13-37,N/A,False
664,Wizards,1998-99,18-32,N/A,False
665,Trail Blazers,1998-99,35-15,N/A,True
666,Nuggets,1998-99,14-36,N/A,False
667,Raptors,1998-99,23-27,N/A,False
668,Magic,1998-99,33-17,N/A,True
669,Mavericks,1998-99,19-31,N/A,False
670,Kings,1998-99,27-23,N/A,False
671,Warriors,1998-99,21-29,N/A,False
672,Knicks,1998-99,27-23,FINALS APPEARANCE,False
673,76ers,1998-99,28-22,N/A,False
674,Pacers,1998-99,33-17,N/A,True
675,Lakers,1998-99,31-19,N/A,False
676,Cavaliers,1998-99,22-28,N/A,False
677,Jazz,1998-99,37-13,N/A,True
678,Grizzlies,1998-99,8-42,N/A,False
679,Pacers,1999-00,56-26,FINALS APPEARANCE,True
680,Jazz,1999-00,55-27,N/A,True
681,Kings,1999-00,44-38,N/A,False
682,Celtics,1999-00,35-47,N/A,False
683,Trail Blazers,1999-00,59-23,N/A,True
684,Nets,1999-00,31-51,N/A,False
685,Wizards,1999-00,29-53,N/A,False
686,Knicks,1999-00,50-32,N/A,False
687,Bulls,1999-00,17-65,N/A,False
688,Magic,1999-00,41-41,N/A,False
689,Raptors,1999-00,45-37,N/A,False
690,Nuggets,1999-00,35-47,N/A,False
691,Mavericks,1999-00,40-42,N/A,False
692,Grizzlies,1999-00,22-60,N/A,False
693,Warriors,1999-00,19-63,N/A,False
694,Lakers,1999-00,67-15,LEAGUE CHAMPION,True
695,Clippers,1999-00,15-67,N/A,False
696,Cavaliers,1999-00,32-50,N/A,False
697,Timberwolves,1999-00,50-32,N/A,True
698,Pistons,1999-00,42-40,N/A,False
699,Suns,1999-00,53-29,N/A,True
700,Spurs,1999-00,53-29,N/A,False
701,76ers,1999-00,49-33,N/A,False
702,Rockets,1999-00,34-48,N/A,False
703,SuperSonics,1999-00,45-37,N/A,False
704,Bucks,1999-00,42-40,N/A,False
705,Hawks,1999-00,28-54,N/A,False
706,Hornets,1999-00,49-33,N/A,False
707,Heat,1999-00,52-30,N/A,False
708,Clippers,2000-01,31-51,N/A,False
709,Nets,2000-01,26-56,N/A,False
710,Trail Blazers,2000-01,50-32,N/A,True
711,Kings,2000-01,55-27,N/A,True
712,Bulls,2000-01,15-67,N/A,False
713,SuperSonics,2000-01,44-38,N/A,False
714,76ers,2000-01,56-26,FINALS APPEARANCE,True
715,Suns,2000-01,51-31,N/A,False
716,Cavaliers,2000-01,30-52,N/A,False
717,Grizzlies,2000-01,23-59,N/A,False
718,Mavericks,2000-01,53-29,N/A,False
719,Magic,2000-01,43-39,N/A,False
720,Heat,2000-01,50-32,N/A,False
721,Knicks,2000-01,48-34,N/A,False
722,Nuggets,2000-01,40-42,N/A,False
723,Raptors,2000-01,47-35,N/A,False
724,Hornets,2000-01,46-36,N/A,False
725,Bucks,2000-01,52-30,N/A,True
726,Pacers,2000-01,41-41,N/A,False
727,Wizards,2000-01,19-63,N/A,False
728,Rockets,2000-01,45-37,N/A,False
729,Spurs,2000-01,58-24,N/A,True
730,Celtics,2000-01,36-46,N/A,False
731,Timberwolves,2000-01,47-35,N/A,False
732,Hawks,2000-01,25-57,N/A,False
733,Pistons,2000-01,32-50,N/A,False
734,Jazz,2000-01,53-29,N/A,True
735,Lakers,2000-01,56-26,LEAGUE CHAMPION,True
736,Warriors,2000-01,17-65,N/A,False
737,Timberwolves,2001-02,50-32,N/A,False
738,Magic,2001-02,44-38,N/A,False
739,Mavericks,2001-02,57-25,N/A,True
740,Bulls,2001-02,21-61,N/A,False
741,Bucks,2001-02,41-41,N/A,False
742,Hornets,2001-02,44-38,N/A,False
743,Nuggets,2001-02,27-55,N/A,False
744,SuperSonics,2001-02,45-37,N/A,False
745,Cavaliers,2001-02,29-53,N/A,False
746,Warriors,2001-02,21-61,N/A,False
747,76ers,2001-02,43-39,N/A,False
748,Spurs,2001-02,58-24,N/A,True
749,Grizzlies,2001-02,23-59,N/A,False
750,Lakers,2001-02,58-24,LEAGUE CHAMPION,True
751,Suns,2001-02,36-46,N/A,False
752,Pistons,2001-02,50-32,N/A,False
753,Nets,2001-02,52-30,FINALS APPEARANCE,False
754,Rockets,2001-02,28-54,N/A,False
755,Raptors,2001-02,42-40,N/A,False
756,Wizards,2001-02,37-45,N/A,False
757,Jazz,2001-02,44-38,N/A,False
758,Celtics,2001-02,49-33,N/A,False
759,Kings,2001-02,61-21,N/A,True
760,Hawks,2001-02,33-49,N/A,False
761,Knicks,2001-02,30-52,N/A,False
762,Pacers,2001-02,42-40,N/A,False
763,Clippers,2001-02,39-43,N/A,False
764,Heat,2001-02,36-46,N/A,False
765,Trail Blazers,2001-02,49-33,N/A,False
766,Pistons,2002-03,50-32,N/A,False
767,Cavaliers,2002-03,17-65,N/A,False
768,Nets,2002-03,49-33,FINALS APPEARANCE,False
769,Clippers,2002-03,27-55,N/A,False
770,Jazz,2002-03,47-35,N/A,False
771,Wizards,2002-03,37-45,N/A,False
772,Lakers,2002-03,50-32,N/A,True
773,Hornets,2002-03,47-35,N/A,False
774,Nuggets,2002-03,17-65,N/A,False
775,Magic,2002-03,42-40,N/A,False
776,Raptors,2002-03,24-58,N/A,False
777,Timberwolves,2002-03,51-31,N/A,False
778,Mavericks,2002-03,60-22,N/A,True
779,Knicks,2002-03,37-45,N/A,False
780,Warriors,2002-03,38-44,N/A,False
781,Hawks,2002-03,35-47,N/A,False
782,Heat,2002-03,25-57,N/A,False
783,Celtics,2002-03,44-38,N/A,False
784,Bulls,2002-03,30-52,N/A,False
785,Kings,2002-03,59-23,N/A,True
786,Grizzlies,2002-03,28-54,N/A,False
787,SuperSonics,2002-03,40-42,N/A,False
788,Suns,2002-03,44-38,N/A,False
789,Spurs,2002-03,60-22,LEAGUE CHAMPION,True
790,Rockets,2002-03,43-39,N/A,False
791,Pacers,2002-03,48-34,N/A,False
792,76ers,2002-03,48-34,N/A,False
793,Trail Blazers,2002-03,50-32,N/A,True
794,Bucks,2002-03,42-40,N/A,False
795,Pacers,2003-04,61-21,N/A,True
796,Mavericks,2003-04,52-30,N/A,False
797,Jazz,2003-04,42-40,N/A,False
798,Bucks,2003-04,41-41,N/A,False
799,Bulls,2003-04,23-59,N/A,False
800,Heat,2003-04,42-40,N/A,False
801,Wizards,2003-04,25-57,N/A,False
802,Grizzlies,2003-04,50-32,N/A,True
803,Nuggets,2003-04,43-39,N/A,False
804,Trail Blazers,2003-04,41-41,N/A,False
805,Lakers,2003-04,56-26,FINALS APPEARANCE,False
806,Nets,2003-04,47-35,N/A,False
807,Knicks,2003-04,39-43,N/A,False
808,Spurs,2003-04,57-25,N/A,True
809,SuperSonics,2003-04,37-45,N/A,False
810,Hornets,2003-04,41-41,N/A,False
811,76ers,2003-04,33-49,N/A,False
812,Cavaliers,2003-04,35-47,N/A,False
813,Celtics,2003-04,36-46,N/A,False
814,Hawks,2003-04,28-54,N/A,False
815,Pistons,2003-04,54-28,LEAGUE CHAMPION,True
816,Kings,2003-04,55-27,N/A,True
817,Suns,2003-04,29-53,N/A,False
818,Timberwolves,2003-04,58-24,N/A,True
819,Raptors,2003-04,33-49,N/A,False
820,Rockets,2003-04,45-37,N/A,False
821,Magic,2003-04,21-61,N/A,False
822,Clippers,2003-04,28-54,N/A,False
823,Warriors,2003-04,37-45,N/A,False
824,Warriors,2004-05,34-48,N/A,False
825,Grizzlies,2004-05,45-37,N/A,False
826,Pacers,2004-05,44-38,N/A,False
827,Celtics,2004-05,45-37,N/A,False
828,Bulls,2004-05,47-35,N/A,True
829,Wizards,2004-05,45-37,N/A,False
830,Jazz,2004-05,26-56,N/A,False
831,Bobcats,2004-05,18-64,N/A,False
832,Heat,2004-05,59-23,N/A,True
833,Clippers,2004-05,37-45,N/A,False
834,Rockets,2004-05,51-31,N/A,True
835,Pistons,2004-05,54-28,FINALS APPEARANCE,True
836,Lakers,2004-05,34-48,N/A,False
837,Knicks,2004-05,33-49,N/A,False
838,Trail Blazers,2004-05,27-55,N/A,False
839,Nuggets,2004-05,49-33,N/A,False
840,Timberwolves,2004-05,44-38,N/A,False
841,Bucks,2004-05,30-52,N/A,False
842,Spurs,2004-05,59-23,LEAGUE CHAMPION,True
843,Hornets,2004-05,18-64,N/A,False
844,Hawks,2004-05,13-69,N/A,False
845,Magic,2004-05,36-46,N/A,False
846,Kings,2004-05,50-32,N/A,False
847,Raptors,2004-05,33-49,N/A,False
848,Mavericks,2004-05,58-24,N/A,True
849,SuperSonics,2004-05,52-30,N/A,True
850,Cavaliers,2004-05,42-40,N/A,False
851,76ers,2004-05,43-39,N/A,False
852,Nets,2004-05,42-40,N/A,False
853,Suns,2004-05,62-20,N/A,True
854,SuperSonics,2005-06,35-47,N/A,False
855,Bulls,2005-06,41-41,N/A,False
856,Heat,2005-06,52-30,LEAGUE CHAMPION,True
857,Raptors,2005-06,27-55,N/A,False
858,Lakers,2005-06,45-37,N/A,False
859,Nuggets,2005-06,44-38,N/A,False
860,Timberwolves,2005-06,33-49,N/A,False
861,Spurs,2005-06,63-19,N/A,True
862,Suns,2005-06,54-28,N/A,True
863,Warriors,2005-06,34-48,N/A,False
864,Nets,2005-06,49-33,N/A,True
865,Rockets,2005-06,34-48,N/A,False
866,Clippers,2005-06,47-35,N/A,False
867,Mavericks,2005-06,60-22,FINALS APPEARANCE,True
868,Jazz,2005-06,41-41,N/A,False
869,Wizards,2005-06,42-40,N/A,False
870,Hawks,2005-06,26-56,N/A,False
871,Trail Blazers,2005-06,21-61,N/A,False
872,Hornets,2005-06,38-44,N/A,False
873,Pistons,2005-06,64-18,N/A,True
874,Kings,2005-06,44-38,N/A,False
875,Pacers,2005-06,41-41,N/A,False
876,Bucks,2005-06,40-42,N/A,False
877,Knicks,2005-06,23-59,N/A,False
878,Cavaliers,2005-06,50-32,N/A,False
879,Celtics,2005-06,33-49,N/A,False
880,Magic,2005-06,36-46,N/A,False
881,76ers,2005-06,38-44,N/A,False
882,Bobcats,2005-06,26-56,N/A,False
883,Grizzlies,2005-06,49-33,N/A,False
884,Pacers,2006-07,35-47,N/A,False
885,Warriors,2006-07,42-40,N/A,False
886,Bucks,2006-07,28-54,N/A,False
887,Nets,2006-07,41-41,N/A,False
888,Suns,2006-07,61-21,N/A,True
889,Bobcats,2006-07,33-49,N/A,False
890,Knicks,2006-07,33-49,N/A,False
891,Rockets,2006-07,52-30,N/A,False
892,Jazz,2006-07,51-31,N/A,True
893,Mavericks,2006-07,67-15,N/A,True
894,Wizards,2006-07,41-41,N/A,False
895,Kings,2006-07,33-49,N/A,False
896,Hawks,2006-07,30-52,N/A,False
897,SuperSonics,2006-07,31-51,N/A,False
898,Clippers,2006-07,40-42,N/A,False
899,76ers,2006-07,35-47,N/A,False
900,Timberwolves,2006-07,32-50,N/A,False
901,Magic,2006-07,40-42,N/A,False
902,Cavaliers,2006-07,50-32,FINALS APPEARANCE,False
903,Celtics,2006-07,24-58,N/A,False
904,Nuggets,2006-07,45-37,N/A,False
905,Hornets,2006-07,39-43,N/A,False
906,Raptors,2006-07,47-35,N/A,True
907,Heat,2006-07,44-38,N/A,False
908,Lakers,2006-07,42-40,N/A,False
909,Trail Blazers,2006-07,32-50,N/A,False
910,Bulls,2006-07,49-33,N/A,False
911,Pistons,2006-07,53-29,N/A,True
912,Grizzlies,2006-07,22-60,N/A,False
913,Spurs,2006-07,58-24,LEAGUE CHAMPION,True
914,Spurs,2007-08,56-26,N/A,True
915,Hawks,2007-08,37-45,N/A,False
916,Bobcats,2007-08,32-50,N/A,False
917,Kings,2007-08,38-44,N/A,False
918,Grizzlies,2007-08,22-60,N/A,False
919,Jazz,2007-08,54-28,N/A,True
920,Celtics,2007-08,66-16,LEAGUE CHAMPION,True
921,Warriors,2007-08,48-34,N/A,True
922,Timberwolves,2007-08,22-60,N/A,False
923,Bucks,2007-08,26-56,N/A,False
924,Suns,2007-08,55-27,N/A,False
925,Nets,2007-08,34-48,N/A,False
926,Pistons,2007-08,59-23,N/A,True
927,Lakers,2007-08,57-25,FINALS APPEARANCE,True
928,Pacers,2007-08,36-46,N/A,False
929,Raptors,2007-08,41-41,N/A,False
930,Rockets,2007-08,55-27,N/A,True
931,Knicks,2007-08,23-59,N/A,False
932,Nuggets,2007-08,50-32,N/A,False
933,Clippers,2007-08,23-59,N/A,False
934,SuperSonics,2007-08,20-62,N/A,False
935,Mavericks,2007-08,51-31,N/A,False
936,Heat,2007-08,15-67,N/A,False
937,76ers,2007-08,40-42,N/A,False
938,Cavaliers,2007-08,45-37,N/A,False
939,Bulls,2007-08,33-49,N/A,False
940,Trail Blazers,2007-08,41-41,N/A,False
941,Wizards,2007-08,43-39,N/A,False
942,Hornets,2007-08,56-26,N/A,True
943,Magic,2007-08,52-30,N/A,False
944,Nuggets,2008-09,54-28,N/A,True
945,Pistons,2008-09,39-43,N/A,False
946,Warriors,2008-09,29-53,N/A,False
947,Grizzlies,2008-09,24-58,N/A,False
948,Trail Blazers,2008-09,54-28,N/A,False
949,Heat,2008-09,43-39,N/A,False
950,Spurs,2008-09,54-28,N/A,True
951,Bobcats,2008-09,35-47,N/A,False
952,Magic,2008-09,59-23,FINALS APPEARANCE,True
953,Lakers,2008-09,65-17,LEAGUE CHAMPION,True
954,Hornets,2008-09,49-33,N/A,False
955,Knicks,2008-09,32-50,N/A,False
956,Celtics,2008-09,62-20,N/A,True
957,Clippers,2008-09,19-63,N/A,False
958,Thunder,2008-09,23-59,N/A,False
959,Kings,2008-09,17-65,N/A,False
960,76ers,2008-09,41-41,N/A,False
961,Bulls,2008-09,41-41,N/A,False
962,Raptors,2008-09,33-49,N/A,False
963,Cavaliers,2008-09,66-16,N/A,True
964,Nets,2008-09,34-48,N/A,False
965,Bucks,2008-09,34-48,N/A,False
966,Suns,2008-09,46-36,N/A,False
967,Timberwolves,2008-09,24-58,N/A,False
968,Pacers,2008-09,36-46,N/A,False
969,Mavericks,2008-09,50-32,N/A,False
970,Rockets,2008-09,53-29,N/A,False
971,Hawks,2008-09,47-35,N/A,False
972,Wizards,2008-09,19-63,N/A,False
973,Jazz,2008-09,48-34,N/A,False
974,Clippers,2009-10,29-53,N/A,False
975,Lakers,2009-10,57-25,LEAGUE CHAMPION,True
976,Pistons,2009-10,27-55,N/A,False
977,Rockets,2009-10,42-40,N/A,False
978,Warriors,2009-10,26-56,N/A,False
979,Heat,2009-10,47-35,N/A,False
980,Spurs,2009-10,50-32,N/A,False
981,Bobcats,2009-10,44-38,N/A,False
982,Jazz,2009-10,53-29,N/A,True
983,Timberwolves,2009-10,15-67,N/A,False
984,Celtics,2009-10,50-32,FINALS APPEARANCE,False
985,76ers,2009-10,27-55,N/A,False
986,Pacers,2009-10,32-50,N/A,False
987,Thunder,2009-10,50-32,N/A,False
988,Wizards,2009-10,26-56,N/A,False
989,Kings,2009-10,25-57,N/A,False
990,Bulls,2009-10,41-41,N/A,False
991,Hornets,2009-10,37-45,N/A,False
992,Cavaliers,2009-10,61-21,N/A,True
993,Nets,2009-10,12-70,N/A,False
994,Hawks,2009-10,53-29,N/A,False
995,Bucks,2009-10,46-36,N/A,False
996,Suns,2009-10,54-28,N/A,False
997,Mavericks,2009-10,55-27,N/A,True
998,Raptors,2009-10,40-42,N/A,False
999,Grizzlies,2009-10,40-42,N/A,False
1000,Nuggets,2009-10,53-29,N/A,True
1001,Knicks,2009-10,29-53,N/A,False
1002,Magic,2009-10,59-23,N/A,True
1003,Trail Blazers,2009-10,50-32,N/A,False
1004,Bucks,2010-11,35-47,N/A,False
1005,Rockets,2010-11,43-39,N/A,False
1006,Trail Blazers,2010-11,48-34,N/A,False
1007,Heat,2010-11,58-24,FINALS APPEARANCE,True
1008,Spurs,2010-11,61-21,N/A,True
1009,Magic,2010-11,52-30,N/A,False
1010,Jazz,2010-11,39-43,N/A,False
1011,Timberwolves,2010-11,17-65,N/A,False
1012,Knicks,2010-11,42-40,N/A,False
1013,Celtics,2010-11,56-26,N/A,True
1014,76ers,2010-11,41-41,N/A,False
1015,Wizards,2010-11,23-59,N/A,False
1016,Pacers,2010-11,37-45,N/A,False
1017,Warriors,2010-11,36-46,N/A,False
1018,Lakers,2010-11,57-25,N/A,True
1019,Kings,2010-11,24-58,N/A,False
1020,Hornets,2010-11,46-36,N/A,False
1021,Bulls,2010-11,62-20,N/A,True
1022,Cavaliers,2010-11,19-63,N/A,False
1023,Hawks,2010-11,44-38,N/A,False
1024,Nets,2010-11,24-58,N/A,False
1025,Clippers,2010-11,32-50,N/A,False
1026,Suns,2010-11,40-42,N/A,False
1027,Mavericks,2010-11,57-25,LEAGUE CHAMPION,True
1028,Raptors,2010-11,22-60,N/A,False
1029,Thunder,2010-11,55-27,N/A,True
1030,Nuggets,2010-11,50-32,N/A,False
1031,Grizzlies,2010-11,46-36,N/A,False
1032,Bobcats,2010-11,34-48,N/A,False
1033,Pistons,2010-11,30-52,N/A,False
1034,76ers,2011-12,35-31,N/A,False
1035,Celtics,2011-12,39-27,N/A,False
1036,Mavericks,2011-12,36-30,N/A,False
1037,Heat,2011-12,46-20,LEAGUE CHAMPION,True
1038,Wizards,2011-12,20-46,N/A,False
1039,Rockets,2011-12,34-32,N/A,False
1040,Jazz,2011-12,36-30,N/A,False
1041,Cavaliers,2011-12,21-45,N/A,False
1042,Bobcats,2011-12,7-59,N/A,False
1043,Nets,2011-12,22-44,N/A,False
1044,Thunder,2011-12,47-19,FINALS APPEARANCE,True
1045,Hornets,2011-12,21-45,N/A,False
1046,Timberwolves,2011-12,26-40,N/A,False
1047,Bulls,2011-12,50-16,N/A,True
1048,Hawks,2011-12,40-26,N/A,False
1049,Grizzlies,2011-12,41-25,N/A,False
1050,Kings,2011-12,22-44,N/A,False
1051,Knicks,2011-12,36-30,N/A,False
1052,Magic,2011-12,37-29,N/A,False
1053,Bucks,2011-12,31-35,N/A,False
1054,Trail Blazers,2011-12,28-38,N/A,False
1055,Clippers,2011-12,40-26,N/A,False
1056,Pistons,2011-12,25-41,N/A,False
1057,Suns,2011-12,33-33,N/A,False
1058,Lakers,2011-12,41-25,N/A,False
1059,Pacers,2011-12,42-24,N/A,False
1060,Spurs,2011-12,50-16,N/A,True
1061,Warriors,2011-12,23-43,N/A,False
1062,Raptors,2011-12,23-43,N/A,False
1063,Nuggets,2011-12,38-28,N/A,False
1064,Kings,2012-13,28-54,N/A,False
1065,Celtics,2012-13,41-40,N/A,False
1066,Bobcats,2012-13,21-61,N/A,False
1067,Lakers,2012-13,45-37,N/A,False
1068,Heat,2012-13,66-16,LEAGUE CHAMPION,True
1069,76ers,2012-13,34-48,N/A,False
1070,Rockets,2012-13,45-37,N/A,False
1071,Clippers,2012-13,56-26,N/A,True
1072,Hornets,2012-13,27-55,N/A,False
1073,Wizards,2012-13,29-53,N/A,False
1074,Bulls,2012-13,45-37,N/A,False
1075,Pacers,2012-13,49-32,N/A,True
1076,Trail Blazers,2012-13,33-49,N/A,False
1077,Thunder,2012-13,60-22,N/A,True
1078,Bucks,2012-13,38-44,N/A,False
1079,Nuggets,2012-13,57-25,N/A,True
1080,Spurs,2012-13,58-24,FINALS APPEARANCE,True
1081,Knicks,2012-13,54-28,N/A,False
1082,Warriors,2012-13,47-35,N/A,False
1083,Grizzlies,2012-13,56-26,N/A,True
1084,Mavericks,2012-13,41-41,N/A,False
1085,Raptors,2012-13,34-48,N/A,False
1086,Pistons,2012-13,29-53,N/A,False
1087,Jazz,2012-13,43-39,N/A,False
1088,Cavaliers,2012-13,24-58,N/A,False
1089,Magic,2012-13,20-62,N/A,False
1090,Nets,2012-13,49-33,N/A,False
1091,Timberwolves,2012-13,31-51,N/A,False
1092,Hawks,2012-13,44-38,N/A,False
1093,Suns,2012-13,25-57,N/A,False
1094,Cavaliers,2013-14,33-49,N/A,False
1095,Kings,2013-14,28-54,N/A,False
1096,Clippers,2013-14,57-25,N/A,True
1097,Raptors,2013-14,48-34,N/A,False
1098,Bulls,2013-14,48-34,N/A,False
1099,Bucks,2013-14,15-67,N/A,False
1100,Nuggets,2013-14,36-46,N/A,False
1101,Lakers,2013-14,27-55,N/A,False
1102,Mavericks,2013-14,49-33,N/A,False
1103,Hawks,2013-14,38-44,N/A,False
1104,Rockets,2013-14,54-28,N/A,True
1105,Nets,2013-14,44-38,N/A,False
1106,Bobcats,2013-14,43-39,N/A,False
1107,Suns,2013-14,48-34,N/A,False
1108,Magic,2013-14,23-59,N/A,False
1109,Thunder,2013-14,59-23,N/A,True
1110,Trail Blazers,2013-14,54-28,N/A,True
1111,Pelicans,2013-14,34-48,N/A,False
1112,76ers,2013-14,19-63,N/A,False
1113,Jazz,2013-14,25-57,N/A,False
1114,Celtics,2013-14,25-57,N/A,False
1115,Wizards,2013-14,44-38,N/A,False
1116,Grizzlies,2013-14,50-32,N/A,True
1117,Warriors,2013-14,51-31,N/A,False
1118,Heat,2013-14,54-28,FINALS APPEARANCE,True
1119,Timberwolves,2013-14,40-42,N/A,False
1120,Pacers,2013-14,56-26,N/A,True
1121,Pistons,2013-14,29-53,N/A,False
1122,Spurs,2013-14,62-20,LEAGUE CHAMPION,True
1123,Knicks,2013-14,37-45,N/A,False
1124,Nuggets,2014-15,30-52,N/A,False
1125,Thunder,2014-15,45-37,N/A,False
1126,Nets,2014-15,38-44,N/A,False
1127,Magic,2014-15,25-57,N/A,False
1128,Hawks,2014-15,60-22,N/A,True
1129,Mavericks,2014-15,50-32,N/A,False
1130,Bucks,2014-15,41-41,N/A,False
1131,Pelicans,2014-15,45-37,N/A,False
1132,Spurs,2014-15,55-27,N/A,False
1133,Jazz,2014-15,38-44,N/A,False
1134,Warriors,2014-15,67-15,LEAGUE CHAMPION,True
1135,Suns,2014-15,39-43,N/A,False
1136,Grizzlies,2014-15,55-27,N/A,True
1137,Raptors,2014-15,49-33,N/A,False
1138,Wizards,2014-15,46-36,N/A,False
1139,Cavaliers,2014-15,53-29,FINALS APPEARANCE,True
1140,Pistons,2014-15,32-50,N/A,False
1141,Hornets,2014-15,33-49,N/A,False
1142,76ers,2014-15,18-64,N/A,False
1143,Trail Blazers,2014-15,51-31,N/A,True
1144,Knicks,2014-15,17-65,N/A,False
1145,Heat,2014-15,37-45,N/A,False
1146,Rockets,2014-15,56-26,N/A,True
1147,Clippers,2014-15,56-26,N/A,True
1148,Bulls,2014-15,50-32,N/A,False
1149,Celtics,2014-15,40-42,N/A,False
1150,Kings,2014-15,29-53,N/A,False
1151,Timberwolves,2014-15,16-66,N/A,False
1152,Lakers,2014-15,21-61,N/A,False
1153,Pacers,2014-15,38-44,N/A,False
1154,Jazz,2015-16,40-42,N/A,False
1155,Kings,2015-16,33-49,N/A,False
1156,Knicks,2015-16,32-50,N/A,False
1157,Clippers,2015-16,53-29,N/A,True
1158,Pacers,2015-16,45-37,N/A,False
1159,Grizzlies,2015-16,42-40,N/A,False
1160,Wizards,2015-16,41-41,N/A,False
1161,Pelicans,2015-16,30-52,N/A,False
1162,Thunder,2015-16,55-27,N/A,True
1163,Celtics,2015-16,48-34,N/A,False
1164,Cavaliers,2015-16,57-25,LEAGUE CHAMPION,True
1165,Suns,2015-16,23-59,N/A,False
1166,Timberwolves,2015-16,29-53,N/A,False
1167,Heat,2015-16,48-34,N/A,False
1168,Spurs,2015-16,67-15,N/A,True
1169,Magic,2015-16,35-47,N/A,False
1170,Hornets,2015-16,48-34,N/A,False
1171,Bulls,2015-16,42-40,N/A,False
1172,Lakers,2015-16,17-65,N/A,False
1173,Nets,2015-16,21-61,N/A,False
1174,Hawks,2015-16,48-34,N/A,False
1175,Nuggets,2015-16,33-49,N/A,False
1176,Bucks,2015-16,33-49,N/A,False
1177,76ers,2015-16,10-72,N/A,False
1178,Mavericks,2015-16,42-40,N/A,False
1179,Pistons,2015-16,44-38,N/A,False
1180,Rockets,2015-16,41-41,N/A,False
1181,Raptors,2015-16,56-26,N/A,True
1182,Warriors,2015-16,73-9,FINALS APPEARANCE,True
1183,Trail Blazers,2015-16,44-38,N/A,False
1184,Timberwolves,2016-17,31-51,N/A,False
1185,Mavericks,2016-17,33-49,N/A,False
1186,Magic,2016-17,29-53,N/A,False
1187,Heat,2016-17,41-41,N/A,False
1188,Hornets,2016-17,36-46,N/A,False
1189,Raptors,2016-17,51-31,N/A,False
1190,Bulls,2016-17,41-41,N/A,False
1191,Grizzlies,2016-17,43-39,N/A,False
1192,Lakers,2016-17,26-56,N/A,False
1193,Nuggets,2016-17,40-42,N/A,False
1194,Trail Blazers,2016-17,41-41,N/A,False
1195,Wizards,2016-17,49-33,N/A,True
1196,Spurs,2016-17,61-21,N/A,True
1197,Thunder,2016-17,47-35,N/A,False
1198,Bucks,2016-17,42-40,N/A,False
1199,Cavaliers,2016-17,51-31,FINALS APPEARANCE,True
1200,76ers,2016-17,28-54,N/A,False
1201,Clippers,2016-17,51-31,N/A,False
1202,Jazz,2016-17,51-31,N/A,False
1203,Pacers,2016-17,42-40,N/A,False
1204,Rockets,2016-17,55-27,N/A,True
1205,Hawks,2016-17,43-39,N/A,False
1206,Knicks,2016-17,31-51,N/A,False
1207,Nets,2016-17,20-62,N/A,False
1208,Suns,2016-17,24-58,N/A,False
1209,Kings,2016-17,32-50,N/A,False
1210,Pelicans,2016-17,34-48,N/A,False
