,Team,Season,Record,Season Result,PJ Positive,Playoffs Results
473,Knicks,1991-92,51-31,N/A,False,CSF Exit
474,Heat,1991-92,38-44,N/A,False,FR Exit
475,Suns,1991-92,53-29,N/A,True,CSF Exit
476,Kings,1991-92,29-53,N/A,False,Not Qualified
477,Nets,1991-92,40-42,N/A,False,FR Exit
478,Trail Blazers,1991-92,57-25,FINALS APPEARANCE,True,Runner Up
479,SuperSonics,1991-92,47-35,N/A,False,CSF Exit
480,Warriors,1991-92,55-27,N/A,True,FR Exit
481,Timberwolves,1991-92,15-67,N/A,False,Not Qualified
482,Timberwolves,1992-93,19-63,N/A,False,Not Qualified
483,Kings,1992-93,25-57,N/A,False,Not Qualified
484,Pacers,1992-93,41-41,N/A,False,FR Exit
485,Nuggets,1992-93,36-46,N/A,False,Not Qualified
486,Rockets,1992-93,55-27,N/A,True,CSF Exit
487,Clippers,1992-93,41-41,N/A,False,FR Exit
488,Spurs,1992-93,49-33,N/A,True,CSF Exit
489,Magic,1992-93,41-41,N/A,False,Not Qualified
490,Heat,1992-93,36-46,N/A,False,Not Qualified
491,Mavericks,1992-93,11-71,N/A,False,Not Qualified
492,Hornets,1992-93,44-38,N/A,False,CSF Exit
493,Cavaliers,1992-93,54-28,N/A,True,CSF Exit
494,Jazz,1992-93,47-35,N/A,False,FR Exit
495,Trail Blazers,1992-93,51-31,N/A,False,FR Exit
496,Nets,1992-93,43-39,N/A,False,FR Exit
497,SuperSonics,1992-93,55-27,N/A,True,CF Exit
498,Pistons,1992-93,40-42,N/A,False,Not Qualified
499,Suns,1992-93,62-20,FINALS APPEARANCE,True,Runner Up
500,Bucks,1992-93,28-54,N/A,False,Not Qualified
501,Bullets,1992-93,22-60,N/A,False,Not Qualified
502,76ers,1992-93,26-56,N/A,False,Not Qualified
503,Hawks,1992-93,43-39,N/A,False,FR Exit
504,Warriors,1992-93,34-48,N/A,False,Not Qualified
505,Lakers,1992-93,39-43,N/A,False,FR Exit
506,Celtics,1992-93,48-34,N/A,False,FR Exit
507,Bulls,1992-93,57-25,LEAGUE CHAMPION,True,Champ
508,Knicks,1992-93,60-22,N/A,True,CF Exit
509,Bullets,1993-94,24-58,N/A,False,Not Qualified
510,Rockets,1993-94,58-24,LEAGUE CHAMPION,True,Champ
511,Kings,1993-94,28-54,N/A,False,Not Qualified
512,Bulls,1993-94,55-27,N/A,True,CSF Exit
513,Trail Blazers,1993-94,47-35,N/A,False,FR Exit
514,Heat,1993-94,42-40,N/A,False,FR Exit
515,Knicks,1993-94,57-25,FINALS APPEARANCE,True,Runner Up
516,Suns,1993-94,56-26,N/A,True,CSF Exit
517,Pacers,1993-94,47-35,N/A,False,CF Exit
518,Celtics,1993-94,32-50,N/A,False,Not Qualified
519,Clippers,1993-94,27-55,N/A,False,Not Qualified
520,Hawks,1993-94,57-25,N/A,True,CSF Exit
521,Timberwolves,1993-94,20-62,N/A,False,Not Qualified
522,Bucks,1993-94,20-62,N/A,False,Not Qualified
523,Hornets,1993-94,41-41,N/A,False,Not Qualified
524,Nets,1993-94,45-37,N/A,False,FR Exit
525,Pistons,1993-94,20-62,N/A,False,Not Qualified
526,Jazz,1993-94,53-29,N/A,True,CF Exit
527,Nuggets,1993-94,42-40,N/A,False,CSF Exit
528,Lakers,1993-94,33-49,N/A,False,Not Qualified
529,SuperSonics,1993-94,63-19,N/A,True,FR Exit
530,Mavericks,1993-94,13-69,N/A,False,Not Qualified
531,Spurs,1993-94,55-27,N/A,True,FR Exit
532,Warriors,1993-94,50-32,N/A,False,FR Exit
533,Magic,1993-94,50-32,N/A,False,FR Exit
534,Cavaliers,1993-94,47-35,N/A,False,FR Exit
535,76ers,1993-94,25-57,N/A,False,Not Qualified
536,Hawks,1994-95,42-40,N/A,False,FR Exit
537,Warriors,1994-95,26-56,N/A,False,Not Qualified
538,76ers,1994-95,24-58,N/A,False,Not Qualified
539,Clippers,1994-95,17-65,N/A,False,Not Qualified
540,Pistons,1994-95,28-54,N/A,False,Not Qualified
541,Celtics,1994-95,35-47,N/A,False,FR Exit
542,Mavericks,1994-95,36-46,N/A,False,Not Qualified
543,Nuggets,1994-95,41-41,N/A,False,FR Exit
544,Bucks,1994-95,34-48,N/A,False,Not Qualified
545,Pacers,1994-95,52-30,N/A,False,CF Exit
546,Lakers,1994-95,48-34,N/A,False,CSF Exit
547,Timberwolves,1994-95,21-61,N/A,False,Not Qualified
548,Hornets,1994-95,50-32,N/A,False,FR Exit
549,Suns,1994-95,59-23,N/A,True,CSF Exit
550,Knicks,1994-95,55-27,N/A,True,CSF Exit
551,Heat,1994-95,32-50,N/A,False,Not Qualified
552,Magic,1994-95,57-25,FINALS APPEARANCE,True,Runner Up
553,Kings,1994-95,39-43,N/A,False,Not Qualified
554,Jazz,1994-95,60-22,N/A,True,FR Exit
555,Rockets,1994-95,47-35,LEAGUE CHAMPION,False,Champ
556,Bulls,1994-95,47-35,N/A,False,CSF Exit
557,Cavaliers,1994-95,43-39,N/A,False,FR Exit
558,SuperSonics,1994-95,57-25,N/A,True,FR Exit
559,Trail Blazers,1994-95,44-38,N/A,False,FR Exit
560,Bullets,1994-95,21-61,N/A,False,Not Qualified
561,Nets,1994-95,30-52,N/A,False,Not Qualified
562,Spurs,1994-95,62-20,N/A,True,CF Exit
563,Pistons,1995-96,46-36,N/A,False,FR Exit
564,Jazz,1995-96,55-27,N/A,True,CF Exit
565,Nuggets,1995-96,35-47,N/A,False,Not Qualified
566,Bucks,1995-96,25-57,N/A,False,Not Qualified
567,Pacers,1995-96,52-30,N/A,False,FR Exit
568,Timberwolves,1995-96,26-56,N/A,False,Not Qualified
569,Rockets,1995-96,48-34,N/A,False,CSF Exit
570,Grizzlies,1995-96,15-67,N/A,False,Not Qualified
571,Lakers,1995-96,53-29,N/A,True,FR Exit
572,Celtics,1995-96,33-49,N/A,False,Not Qualified
573,Heat,1995-96,42-40,N/A,False,FR Exit
574,Spurs,1995-96,59-23,N/A,True,CSF Exit
575,Warriors,1995-96,36-46,N/A,False,Not Qualified
576,Hawks,1995-96,46-36,N/A,False,CSF Exit
577,Bulls,1995-96,72-10,LEAGUE CHAMPION,True,Champ
578,Kings,1995-96,39-43,N/A,False,FR Exit
579,Suns,1995-96,41-41,N/A,False,FR Exit
580,Trail Blazers,1995-96,44-38,N/A,False,FR Exit
581,Nets,1995-96,30-52,N/A,False,Not Qualified
582,Knicks,1995-96,47-35,N/A,False,CSF Exit
583,Cavaliers,1995-96,47-35,N/A,False,FR Exit
584,SuperSonics,1995-96,64-18,FINALS APPEARANCE,True,Runner Up
585,Clippers,1995-96,29-53,N/A,False,Not Qualified
586,Magic,1995-96,60-22,N/A,True,CF Exit
587,Bullets,1995-96,39-43,N/A,False,Not Qualified
588,Mavericks,1995-96,26-56,N/A,False,Not Qualified
589,76ers,1995-96,18-64,N/A,False,Not Qualified
590,Hornets,1995-96,41-41,N/A,False,Not Qualified
591,Raptors,1995-96,21-61,N/A,False,Not Qualified
592,Bucks,1996-97,33-49,N/A,False,Not Qualified
593,Spurs,1996-97,20-62,N/A,False,Not Qualified
594,76ers,1996-97,22-60,N/A,False,Not Qualified
595,Warriors,1996-97,30-52,N/A,False,Not Qualified
596,Suns,1996-97,40-42,N/A,False,FR Exit
597,Pistons,1996-97,54-28,N/A,True,FR Exit
598,Mavericks,1996-97,24-58,N/A,False,Not Qualified
599,Cavaliers,1996-97,42-40,N/A,False,Not Qualified
600,Timberwolves,1996-97,40-42,N/A,False,FR Exit
601,Grizzlies,1996-97,14-68,N/A,False,Not Qualified
602,Bulls,1996-97,69-13,LEAGUE CHAMPION,True,Champ
603,Lakers,1996-97,56-26,N/A,True,CSF Exit
604,Magic,1996-97,45-37,N/A,False,FR Exit
605,SuperSonics,1996-97,57-25,N/A,True,CSF Exit
606,Bullets,1996-97,44-38,N/A,False,FR Exit
607,Pacers,1996-97,39-43,N/A,False,Not Qualified
608,Raptors,1996-97,30-52,N/A,False,Not Qualified
609,Celtics,1996-97,15-67,N/A,False,Not Qualified
610,Clippers,1996-97,36-46,N/A,False,FR Exit
611,Rockets,1996-97,57-25,N/A,False,CF Exit
612,Heat,1996-97,61-21,N/A,True,CF Exit
613,Nuggets,1996-97,21-61,N/A,False,Not Qualified
614,Hornets,1996-97,54-28,N/A,True,FR Exit
615,Hawks,1996-97,56-26,N/A,True,CSF Exit
616,Trail Blazers,1996-97,49-33,N/A,False,FR Exit
617,Kings,1996-97,34-48,N/A,False,Not Qualified
618,Jazz,1996-97,64-18,FINALS APPEARANCE,True,Runner Up
619,Nets,1996-97,26-56,N/A,False,Not Qualified
620,Knicks,1996-97,57-25,N/A,True,CSF Exit
621,Warriors,1997-98,19-63,N/A,False,Not Qualified
622,Magic,1997-98,41-41,N/A,False,Not Qualified
623,Jazz,1997-98,62-20,FINALS APPEARANCE,True,Runner Up
624,Hawks,1997-98,50-32,N/A,False,FR Exit
625,Wizards,1997-98,42-40,N/A,False,Not Qualified
626,Rockets,1997-98,41-41,N/A,False,FR Exit
627,Clippers,1997-98,17-65,N/A,False,Not Qualified
628,Timberwolves,1997-98,45-37,N/A,False,FR Exit
629,Heat,1997-98,55-27,N/A,True,FR Exit
630,Trail Blazers,1997-98,46-36,N/A,False,FR Exit
631,SuperSonics,1997-98,61-21,N/A,True,CSF Exit
632,Bucks,1997-98,36-46,N/A,False,Not Qualified
633,Bulls,1997-98,62-20,LEAGUE CHAMPION,True,Champ
634,Cavaliers,1997-98,47-35,N/A,False,FR Exit
635,Nuggets,1997-98,11-71,N/A,False,Not Qualified
636,76ers,1997-98,31-51,N/A,False,Not Qualified
637,Kings,1997-98,27-55,N/A,False,Not Qualified
638,Pistons,1997-98,37-45,N/A,False,Not Qualified
639,Nets,1997-98,43-39,N/A,False,FR Exit
640,Pacers,1997-98,58-24,N/A,True,CF Exit
641,Lakers,1997-98,61-21,N/A,True,CF Exit
642,Knicks,1997-98,43-39,N/A,False,CSF Exit
643,Spurs,1997-98,56-26,N/A,True,CSF Exit
644,Suns,1997-98,56-26,N/A,True,FR Exit
645,Mavericks,1997-98,20-62,N/A,False,Not Qualified
646,Hornets,1997-98,51-31,N/A,False,CSF Exit
647,Raptors,1997-98,16-66,N/A,False,Not Qualified
648,Celtics,1997-98,36-46,N/A,False,Not Qualified
649,Grizzlies,1997-98,19-63,N/A,False,Not Qualified
650,Suns,1998-99,27-23,N/A,False,FR Exit
651,Spurs,1998-99,37-13,LEAGUE CHAMPION,True,Champ
652,Celtics,1998-99,19-31,N/A,False,Not Qualified
653,Timberwolves,1998-99,25-25,N/A,False,FR Exit
654,Pistons,1998-99,29-21,N/A,False,FR Exit
655,SuperSonics,1998-99,25-25,N/A,False,Not Qualified
656,Hawks,1998-99,31-19,N/A,False,CSF Exit
657,Clippers,1998-99,9-41,N/A,False,Not Qualified
658,Bucks,1998-99,28-22,N/A,False,FR Exit
659,Nets,1998-99,16-34,N/A,False,Not Qualified
660,Heat,1998-99,33-17,N/A,True,FR Exit
661,Rockets,1998-99,31-19,N/A,False,FR Exit
662,Hornets,1998-99,26-24,N/A,False,Not Qualified
663,Bulls,1998-99,13-37,N/A,False,Not Qualified
664,Wizards,1998-99,18-32,N/A,False,Not Qualified
665,Trail Blazers,1998-99,35-15,N/A,True,CF Exit
666,Nuggets,1998-99,14-36,N/A,False,Not Qualified
667,Raptors,1998-99,23-27,N/A,False,Not Qualified
668,Magic,1998-99,33-17,N/A,True,FR Exit
669,Mavericks,1998-99,19-31,N/A,False,Not Qualified
670,Kings,1998-99,27-23,N/A,False,FR Exit
671,Warriors,1998-99,21-29,N/A,False,Not Qualified
672,Knicks,1998-99,27-23,FINALS APPEARANCE,False,Runner Up
673,76ers,1998-99,28-22,N/A,False,CSF Exit
674,Pacers,1998-99,33-17,N/A,True,CF Exit
675,Lakers,1998-99,31-19,N/A,False,CSF Exit
676,Cavaliers,1998-99,22-28,N/A,False,Not Qualified
677,Jazz,1998-99,37-13,N/A,True,CSF Exit
678,Grizzlies,1998-99,8-42,N/A,False,Not Qualified
679,Pacers,1999-00,56-26,FINALS APPEARANCE,True,Runner Up
680,Jazz,1999-00,55-27,N/A,True,CSF Exit
681,Kings,1999-00,44-38,N/A,False,FR Exit
682,Celtics,1999-00,35-47,N/A,False,Not Qualified
683,Trail Blazers,1999-00,59-23,N/A,True,CF Exit
684,Nets,1999-00,31-51,N/A,False,Not Qualified
685,Wizards,1999-00,29-53,N/A,False,Not Qualified
686,Knicks,1999-00,50-32,N/A,False,CF Exit
687,Bulls,1999-00,17-65,N/A,False,Not Qualified
688,Magic,1999-00,41-41,N/A,False,Not Qualified
689,Raptors,1999-00,45-37,N/A,False,FR Exit
690,Nuggets,1999-00,35-47,N/A,False,Not Qualified
691,Mavericks,1999-00,40-42,N/A,False,Not Qualified
692,Grizzlies,1999-00,22-60,N/A,False,Not Qualified
693,Warriors,1999-00,19-63,N/A,False,Not Qualified
694,Lakers,1999-00,67-15,LEAGUE CHAMPION,True,Champ
695,Clippers,1999-00,15-67,N/A,False,Not Qualified
696,Cavaliers,1999-00,32-50,N/A,False,Not Qualified
697,Timberwolves,1999-00,50-32,N/A,True,FR Exit
698,Pistons,1999-00,42-40,N/A,False,FR Exit
699,Suns,1999-00,53-29,N/A,True,CSF Exit
700,Spurs,1999-00,53-29,N/A,False,FR Exit
701,76ers,1999-00,49-33,N/A,False,CSF Exit
702,Rockets,1999-00,34-48,N/A,False,Not Qualified
703,SuperSonics,1999-00,45-37,N/A,False,FR Exit
704,Bucks,1999-00,42-40,N/A,False,FR Exit
705,Hawks,1999-00,28-54,N/A,False,Not Qualified
706,Hornets,1999-00,49-33,N/A,False,FR Exit
707,Heat,1999-00,52-30,N/A,False,CSF Exit
708,Clippers,2000-01,31-51,N/A,False,Not Qualified
709,Nets,2000-01,26-56,N/A,False,Not Qualified
710,Trail Blazers,2000-01,50-32,N/A,True,FR Exit
711,Kings,2000-01,55-27,N/A,True,CSF Exit
712,Bulls,2000-01,15-67,N/A,False,Not Qualified
713,SuperSonics,2000-01,44-38,N/A,False,Not Qualified
714,76ers,2000-01,56-26,FINALS APPEARANCE,True,Runner Up
715,Suns,2000-01,51-31,N/A,False,FR Exit
716,Cavaliers,2000-01,30-52,N/A,False,Not Qualified
717,Grizzlies,2000-01,23-59,N/A,False,Not Qualified
718,Mavericks,2000-01,53-29,N/A,False,CSF Exit
719,Magic,2000-01,43-39,N/A,False,FR Exit
720,Heat,2000-01,50-32,N/A,False,FR Exit
721,Knicks,2000-01,48-34,N/A,False,FR Exit
722,Nuggets,2000-01,40-42,N/A,False,Not Qualified
723,Raptors,2000-01,47-35,N/A,False,CSF Exit
724,Hornets,2000-01,46-36,N/A,False,CSF Exit
725,Bucks,2000-01,52-30,N/A,True,CF Exit
726,Pacers,2000-01,41-41,N/A,False,FR Exit
727,Wizards,2000-01,19-63,N/A,False,Not Qualified
728,Rockets,2000-01,45-37,N/A,False,Not Qualified
729,Spurs,2000-01,58-24,N/A,True,CF Exit
730,Celtics,2000-01,36-46,N/A,False,Not Qualified
731,Timberwolves,2000-01,47-35,N/A,False,FR Exit
732,Hawks,2000-01,25-57,N/A,False,Not Qualified
733,Pistons,2000-01,32-50,N/A,False,Not Qualified
734,Jazz,2000-01,53-29,N/A,True,FR Exit
735,Lakers,2000-01,56-26,LEAGUE CHAMPION,True,Champ
736,Warriors,2000-01,17-65,N/A,False,Not Qualified
737,Timberwolves,2001-02,50-32,N/A,False,FR Exit
738,Magic,2001-02,44-38,N/A,False,FR Exit
739,Mavericks,2001-02,57-25,N/A,True,CSF Exit
740,Bulls,2001-02,21-61,N/A,False,Not Qualified
741,Bucks,2001-02,41-41,N/A,False,Not Qualified
742,Hornets,2001-02,44-38,N/A,False,CSF Exit
743,Nuggets,2001-02,27-55,N/A,False,Not Qualified
744,SuperSonics,2001-02,45-37,N/A,False,FR Exit
745,Cavaliers,2001-02,29-53,N/A,False,Not Qualified
746,Warriors,2001-02,21-61,N/A,False,Not Qualified
747,76ers,2001-02,43-39,N/A,False,FR Exit
748,Spurs,2001-02,58-24,N/A,True,CSF Exit
749,Grizzlies,2001-02,23-59,N/A,False,Not Qualified
750,Lakers,2001-02,58-24,LEAGUE CHAMPION,True,Champ
751,Suns,2001-02,36-46,N/A,False,Not Qualified
752,Pistons,2001-02,50-32,N/A,False,CSF Exit
753,Nets,2001-02,52-30,FINALS APPEARANCE,False,Runner Up
754,Rockets,2001-02,28-54,N/A,False,Not Qualified
755,Raptors,2001-02,42-40,N/A,False,FR Exit
756,Wizards,2001-02,37-45,N/A,False,Not Qualified
757,Jazz,2001-02,44-38,N/A,False,FR Exit
758,Celtics,2001-02,49-33,N/A,False,CF Exit
759,Kings,2001-02,61-21,N/A,True,CF Exit
760,Hawks,2001-02,33-49,N/A,False,Not Qualified
761,Knicks,2001-02,30-52,N/A,False,Not Qualified
762,Pacers,2001-02,42-40,N/A,False,FR Exit
763,Clippers,2001-02,39-43,N/A,False,Not Qualified
764,Heat,2001-02,36-46,N/A,False,Not Qualified
765,Trail Blazers,2001-02,49-33,N/A,False,FR Exit
766,Pistons,2002-03,50-32,N/A,False,CF Exit
767,Cavaliers,2002-03,17-65,N/A,False,Not Qualified
768,Nets,2002-03,49-33,FINALS APPEARANCE,False,Runner Up
769,Clippers,2002-03,27-55,N/A,False,Not Qualified
770,Jazz,2002-03,47-35,N/A,False,FR Exit
771,Wizards,2002-03,37-45,N/A,False,Not Qualified
772,Lakers,2002-03,50-32,N/A,True,CSF Exit
773,Hornets,2002-03,47-35,N/A,False,FR Exit
774,Nuggets,2002-03,17-65,N/A,False,Not Qualified
775,Magic,2002-03,42-40,N/A,False,FR Exit
776,Raptors,2002-03,24-58,N/A,False,Not Qualified
777,Timberwolves,2002-03,51-31,N/A,False,FR Exit
778,Mavericks,2002-03,60-22,N/A,True,CF Exit
779,Knicks,2002-03,37-45,N/A,False,Not Qualified
780,Warriors,2002-03,38-44,N/A,False,Not Qualified
781,Hawks,2002-03,35-47,N/A,False,Not Qualified
782,Heat,2002-03,25-57,N/A,False,Not Qualified
783,Celtics,2002-03,44-38,N/A,False,CSF Exit
784,Bulls,2002-03,30-52,N/A,False,Not Qualified
785,Kings,2002-03,59-23,N/A,True,CSF Exit
786,Grizzlies,2002-03,28-54,N/A,False,Not Qualified
787,SuperSonics,2002-03,40-42,N/A,False,Not Qualified
788,Suns,2002-03,44-38,N/A,False,FR Exit
789,Spurs,2002-03,60-22,LEAGUE CHAMPION,True,Champ
790,Rockets,2002-03,43-39,N/A,False,Not Qualified
791,Pacers,2002-03,48-34,N/A,False,FR Exit
792,76ers,2002-03,48-34,N/A,False,CSF Exit
793,Trail Blazers,2002-03,50-32,N/A,True,FR Exit
794,Bucks,2002-03,42-40,N/A,False,FR Exit
795,Pacers,2003-04,61-21,N/A,True,CF Exit
796,Mavericks,2003-04,52-30,N/A,False,FR Exit
797,Jazz,2003-04,42-40,N/A,False,Not Qualified
798,Bucks,2003-04,41-41,N/A,False,FR Exit
799,Bulls,2003-04,23-59,N/A,False,Not Qualified
800,Heat,2003-04,42-40,N/A,False,CSF Exit
801,Wizards,2003-04,25-57,N/A,False,Not Qualified
802,Grizzlies,2003-04,50-32,N/A,True,FR Exit
803,Nuggets,2003-04,43-39,N/A,False,FR Exit
804,Trail Blazers,2003-04,41-41,N/A,False,Not Qualified
805,Lakers,2003-04,56-26,FINALS APPEARANCE,False,Runner Up
806,Nets,2003-04,47-35,N/A,False,CSF Exit
807,Knicks,2003-04,39-43,N/A,False,FR Exit
808,Spurs,2003-04,57-25,N/A,True,CSF Exit
809,SuperSonics,2003-04,37-45,N/A,False,Not Qualified
810,Hornets,2003-04,41-41,N/A,False,FR Exit
811,76ers,2003-04,33-49,N/A,False,Not Qualified
812,Cavaliers,2003-04,35-47,N/A,False,Not Qualified
813,Celtics,2003-04,36-46,N/A,False,FR Exit
814,Hawks,2003-04,28-54,N/A,False,Not Qualified
815,Pistons,2003-04,54-28,LEAGUE CHAMPION,True,Champ
816,Kings,2003-04,55-27,N/A,True,CSF Exit
817,Suns,2003-04,29-53,N/A,False,Not Qualified
818,Timberwolves,2003-04,58-24,N/A,True,CF Exit
819,Raptors,2003-04,33-49,N/A,False,Not Qualified
820,Rockets,2003-04,45-37,N/A,False,FR Exit
821,Magic,2003-04,21-61,N/A,False,Not Qualified
822,Clippers,2003-04,28-54,N/A,False,Not Qualified
823,Warriors,2003-04,37-45,N/A,False,Not Qualified
824,Warriors,2004-05,34-48,N/A,False,Not Qualified
825,Grizzlies,2004-05,45-37,N/A,False,FR Exit
826,Pacers,2004-05,44-38,N/A,False,CSF Exit
827,Celtics,2004-05,45-37,N/A,False,FR Exit
828,Bulls,2004-05,47-35,N/A,True,FR Exit
829,Wizards,2004-05,45-37,N/A,False,CSF Exit
830,Jazz,2004-05,26-56,N/A,False,Not Qualified
831,Bobcats,2004-05,18-64,N/A,False,Not Qualified
832,Heat,2004-05,59-23,N/A,True,CF Exit
833,Clippers,2004-05,37-45,N/A,False,Not Qualified
834,Rockets,2004-05,51-31,N/A,True,FR Exit
835,Pistons,2004-05,54-28,FINALS APPEARANCE,True,Runner Up
836,Lakers,2004-05,34-48,N/A,False,Not Qualified
837,Knicks,2004-05,33-49,N/A,False,Not Qualified
838,Trail Blazers,2004-05,27-55,N/A,False,Not Qualified
839,Nuggets,2004-05,49-33,N/A,False,FR Exit
840,Timberwolves,2004-05,44-38,N/A,False,Not Qualified
841,Bucks,2004-05,30-52,N/A,False,Not Qualified
842,Spurs,2004-05,59-23,LEAGUE CHAMPION,True,Champ
843,Hornets,2004-05,18-64,N/A,False,Not Qualified
844,Hawks,2004-05,13-69,N/A,False,Not Qualified
845,Magic,2004-05,36-46,N/A,False,Not Qualified
846,Kings,2004-05,50-32,N/A,False,FR Exit
847,Raptors,2004-05,33-49,N/A,False,Not Qualified
848,Mavericks,2004-05,58-24,N/A,True,CSF Exit
849,SuperSonics,2004-05,52-30,N/A,True,CSF Exit
850,Cavaliers,2004-05,42-40,N/A,False,Not Qualified
851,76ers,2004-05,43-39,N/A,False,FR Exit
852,Nets,2004-05,42-40,N/A,False,FR Exit
853,Suns,2004-05,62-20,N/A,True,CF Exit
854,SuperSonics,2005-06,35-47,N/A,False,Not Qualified
855,Bulls,2005-06,41-41,N/A,False,FR Exit
856,Heat,2005-06,52-30,LEAGUE CHAMPION,True,Champ
857,Raptors,2005-06,27-55,N/A,False,Not Qualified
858,Lakers,2005-06,45-37,N/A,False,FR Exit
859,Nuggets,2005-06,44-38,N/A,False,FR Exit
860,Timberwolves,2005-06,33-49,N/A,False,Not Qualified
861,Spurs,2005-06,63-19,N/A,True,CSF Exit
862,Suns,2005-06,54-28,N/A,True,CF Exit
863,Warriors,2005-06,34-48,N/A,False,Not Qualified
864,Nets,2005-06,49-33,N/A,True,CSF Exit
865,Rockets,2005-06,34-48,N/A,False,Not Qualified
866,Clippers,2005-06,47-35,N/A,False,CSF Exit
867,Mavericks,2005-06,60-22,FINALS APPEARANCE,True,Runner Up
868,Jazz,2005-06,41-41,N/A,False,Not Qualified
869,Wizards,2005-06,42-40,N/A,False,FR Exit
870,Hawks,2005-06,26-56,N/A,False,Not Qualified
871,Trail Blazers,2005-06,21-61,N/A,False,Not Qualified
872,Hornets,2005-06,38-44,N/A,False,Not Qualified
873,Pistons,2005-06,64-18,N/A,True,CF Exit
874,Kings,2005-06,44-38,N/A,False,FR Exit
875,Pacers,2005-06,41-41,N/A,False,FR Exit
876,Bucks,2005-06,40-42,N/A,False,FR Exit
877,Knicks,2005-06,23-59,N/A,False,Not Qualified
878,Cavaliers,2005-06,50-32,N/A,False,CSF Exit
879,Celtics,2005-06,33-49,N/A,False,Not Qualified
880,Magic,2005-06,36-46,N/A,False,Not Qualified
881,76ers,2005-06,38-44,N/A,False,Not Qualified
882,Bobcats,2005-06,26-56,N/A,False,Not Qualified
883,Grizzlies,2005-06,49-33,N/A,False,FR Exit
884,Pacers,2006-07,35-47,N/A,False,Not Qualified
885,Warriors,2006-07,42-40,N/A,False,CSF Exit
886,Bucks,2006-07,28-54,N/A,False,Not Qualified
887,Nets,2006-07,41-41,N/A,False,CSF Exit
888,Suns,2006-07,61-21,N/A,True,CSF Exit
889,Bobcats,2006-07,33-49,N/A,False,Not Qualified
890,Knicks,2006-07,33-49,N/A,False,Not Qualified
891,Rockets,2006-07,52-30,N/A,False,FR Exit
892,Jazz,2006-07,51-31,N/A,True,CF Exit
893,Mavericks,2006-07,67-15,N/A,True,FR Exit
894,Wizards,2006-07,41-41,N/A,False,FR Exit
895,Kings,2006-07,33-49,N/A,False,Not Qualified
896,Hawks,2006-07,30-52,N/A,False,Not Qualified
897,SuperSonics,2006-07,31-51,N/A,False,Not Qualified
898,Clippers,2006-07,40-42,N/A,False,Not Qualified
899,76ers,2006-07,35-47,N/A,False,Not Qualified
900,Timberwolves,2006-07,32-50,N/A,False,Not Qualified
901,Magic,2006-07,40-42,N/A,False,FR Exit
902,Cavaliers,2006-07,50-32,FINALS APPEARANCE,False,Runner Up
903,Celtics,2006-07,24-58,N/A,False,Not Qualified
904,Nuggets,2006-07,45-37,N/A,False,FR Exit
905,Hornets,2006-07,39-43,N/A,False,Not Qualified
906,Raptors,2006-07,47-35,N/A,True,FR Exit
907,Heat,2006-07,44-38,N/A,False,FR Exit
908,Lakers,2006-07,42-40,N/A,False,FR Exit
909,Trail Blazers,2006-07,32-50,N/A,False,Not Qualified
910,Bulls,2006-07,49-33,N/A,False,CSF Exit
911,Pistons,2006-07,53-29,N/A,True,CF Exit
912,Grizzlies,2006-07,22-60,N/A,False,Not Qualified
913,Spurs,2006-07,58-24,LEAGUE CHAMPION,True,Champ
914,Spurs,2007-08,56-26,N/A,True,CF Exit
915,Hawks,2007-08,37-45,N/A,False,FR Exit
916,Bobcats,2007-08,32-50,N/A,False,Not Qualified
917,Kings,2007-08,38-44,N/A,False,Not Qualified
918,Grizzlies,2007-08,22-60,N/A,False,Not Qualified
919,Jazz,2007-08,54-28,N/A,True,CSF Exit
920,Celtics,2007-08,66-16,LEAGUE CHAMPION,True,Champ
921,Warriors,2007-08,48-34,N/A,True,Not Qualified
922,Timberwolves,2007-08,22-60,N/A,False,Not Qualified
923,Bucks,2007-08,26-56,N/A,False,Not Qualified
924,Suns,2007-08,55-27,N/A,False,FR Exit
925,Nets,2007-08,34-48,N/A,False,Not Qualified
926,Pistons,2007-08,59-23,N/A,True,CF Exit
927,Lakers,2007-08,57-25,FINALS APPEARANCE,True,Runner Up
928,Pacers,2007-08,36-46,N/A,False,Not Qualified
929,Raptors,2007-08,41-41,N/A,False,FR Exit
930,Rockets,2007-08,55-27,N/A,True,FR Exit
931,Knicks,2007-08,23-59,N/A,False,Not Qualified
932,Nuggets,2007-08,50-32,N/A,False,FR Exit
933,Clippers,2007-08,23-59,N/A,False,Not Qualified
934,SuperSonics,2007-08,20-62,N/A,False,Not Qualified
935,Mavericks,2007-08,51-31,N/A,False,FR Exit
936,Heat,2007-08,15-67,N/A,False,Not Qualified
937,76ers,2007-08,40-42,N/A,False,FR Exit
938,Cavaliers,2007-08,45-37,N/A,False,CSF Exit
939,Bulls,2007-08,33-49,N/A,False,Not Qualified
940,Trail Blazers,2007-08,41-41,N/A,False,Not Qualified
941,Wizards,2007-08,43-39,N/A,False,FR Exit
942,Hornets,2007-08,56-26,N/A,True,CSF Exit
943,Magic,2007-08,52-30,N/A,False,CSF Exit
944,Nuggets,2008-09,54-28,N/A,True,CF Exit
945,Pistons,2008-09,39-43,N/A,False,FR Exit
946,Warriors,2008-09,29-53,N/A,False,Not Qualified
947,Grizzlies,2008-09,24-58,N/A,False,Not Qualified
